Product Description,Type,Score
"ViewPoint; system, imaging processing, radiological",Imaging/Radiology Systems,1.0
"ViewPoint 6, Model Numbers:  a) H47581RJ, b) H47591MA, c) H47591MT, d) H47591PE, e) H47591PR, f) H47591RA, g) H47591SD, h) H47591YA;  system, imaging processing, radiological",Imaging/Radiology Systems,1.0
"AET36 ANESTH EXT SET - Anesthesia Extension Set - Normally Closed Dual Manifold, Four-way Stopcock, Model/Catalog Number: 472036",Anesthesia Equipment,1.0
"Flexima APDL Drainage Catheter System and Kit, Material Numbers:  a) REF M001271960, b) REF M001271970; all-purpose drainage catheter with locking pigtail",Catheters,1.0
"Flexima Regular Kit Biliary Catheter System Kit, Material Numbers REF M001271650; bile drainage catheter with locking pigtail",Catheters,1.0
"Flexima Regular Kit Nephrostomy Catheter System Kit, Material Numbers REF M001271860; To provide external drainage of the urinary tract.",Catheters,1.0
"vanSonnenberg Sump Locking Pigtail Regular Kit Sump Catheter System Kit, Material Number REF M001273090; for use as a percutaneously placed drain for intra-abdominal fluid collections.",Catheters,1.0
"VTC Regular Kit Nephrostomy Catheter System Kit, Material Number REF M001245300; to provide external drainage of the urinary tract.",Catheters,1.0
"Alaris System PC Unit Model 8015 - a modular infusion pump and monitoring system

",Infusion Pumps,1.0
"Alaris PCA Module Model 8120, a modular infusion pump and monitoring system

",Infusion Pumps,1.0
"Alaris EtCO2 Module Model 8300, a modular infusion pump and monitoring system",Infusion Pumps,1.0
"Alaris Syringe Module Model 8110, a modular infusion pump and monitoring system

",Infusion Pumps,1.0
"Alaris Pump Module Model 8100, a modular infusion pump and monitoring system

",Infusion Pumps,1.0
"Seer Home System is an ambulatory electroencephalograph (EEG) system intended for at-home use for extended EEG and video EEG (vEEG) recordings and analysis. The Seer Home System includes the Sight Monitoring Hub, the Sense wearable, Monitoring Portal and associated accessory components (Disposable EEG Wires, WaterTabs, WaterTabs Application Kit, and Take-home Kit).",Monitoring Devices,1.0
"2090 Programmers with serial number prefixes PKK0 and PKK1:  
a)	2090, Product Description:  PRGM 2090  PROGRAMMER-PORTABLE CRM; 
b)	209031, Product Description:  PROGRAMMER 209031 PORTABLE CRM; 
c)	2090AA, Product Description:  PROGRAMMER 2090AA PORTABLE CRM; 
d)	2090AA4, Product Description:  2090AA4  PROGRAMMER-PORTABLE CRM; 
e)	2090AC, Product Description:  SFTWR 2090AC  PROGRAMMER-PORTABLE CRM W/; 
f)	2090AM, Product Description:  PROGRAMMER CARELINK HONG KONG ASIA; 
g)	2090CHEN, Product Description:  PRGM 2090CHEN  PKG-ASSY PROGRAMMER 2090; 
h)	2090CHFR, Product Description:  PRGM 2090CHFR  PKG-ASSY PROGRAMMER 2090; 
i)	2090CL, Product Description:  PROGRAMMER 2090CL INTL-JAPAN MKT; 
j)	2090EN, Product Description:  PRGM 2090EN  PKG-ASSY PROGRAMMER 2090 UK; 
k)	2090FR, Product Description:  PRGM 2090FR  PKG-ASSY PROGRAMMER 2090 IN; 
l)	2090LDEN, Product Description:  PRGM 2090LDEN  PROGRAMMER-PORTABLE LOANE; 
m)	2090NL, Product Description:  PRGM 2090NL  PKG-ASSY PROGRAMMER 2090 IN; 
n)	2090W, Product Description:  PROGRAMMER  2090W TELEMETRY C; 
o)	2090WCHDE, Product Description:  PROGRAMMER 2090WCHDE SWISS-GERMAN; 
p)	2090WCHEN, Product Description:  PROGRAMMER 2090WCHEN SWISS-ENGLISH; 
q)	2090WCHFR, Product Description:  PROGRAMMER 2090WCHFR SWISS-FRENCH; 
r)	2090WDE, Product Description:  PROGRAMMER 2090WDE GERMAN MKT; 
s)	2090WFR, Product Description:  PROGRAMMER 2090WFR FRENCH MKT; 
t)	2090WLD, Product Description:  PROG 2090WLD ALL LANGUAGES W/ANALYZER; 
u)	2090WNL, Product Description:  PROGRAMMER 2090WNL NETHERLANDS MKT",Anesthesia Equipment,0.7176419496536255
"Medtronic ENT Ultra Round Steel Cutting Bur, Model Number REF 31313069",Other,0.5276135206222534
"Foam Protective Pouches, model numbers 6010 (50 each/case), 6010-1 (350 each /case), 6060 (8 rolls/case), 6070 (75 each/case), 6106 (250 each/case), 6141 (250 each/case), 6203 (40 each/case), 6805 (50 each/case), 6805-1 (175 each/case), 6810 (50 each/case), 6810-1 (350 each/case), 6830 (8 rolls/case), and 6860 (8 rolls/case)",Anesthesia Equipment,0.7076070308685303
"Brand Name: PROBEAT
Product Name: PROBEAT-FR
Model/Catalog Number: N/A
Software Version: N/A
Product Description: The PROBEAT-FR is a proton beam irradiation system, which provides a therapeutic proton 
beam for clinical treatment. It is designed to deliver a proton beam with the prescribed dose, 
dose distribution and directed to the prescribed patient treatment site.
Component: N/A
",Blood Pumps,0.686245858669281
"Brand Name: PROBEAT
Product Name: PROBEAT-CR
Model/Catalog Number: N/A
Software Version: N/A
Product Description: The PROBEAT-CR is a proton beam irradiation system, which provides a therapeutic proton 
beam for clinical treatment. It is designed to deliver a proton beam with the prescribed dose, 
dose distribution and directed to the prescribed patient treatment site.
Component: N/A
",Blood Pumps,0.6835969686508179
"Brand Name: PROBEAT
Product Name: PROBEAT-V
Model/Catalog Number: N/A
Software Version: N/A
Product Description: The PROBEAT-V is a proton beam irradiation system, which provides a therapeutic proton 
beam for clinical treatment. It is designed to deliver a proton beam with the prescribed dose, 
dose distribution and directed to the prescribed patient treatment site.
Component: N/A
",Blood Pumps,0.6855167746543884
"NEUROSIGN Disposable Stimulating Dissector, REF 5888-00",Other,0.5170741081237793
"Medtronic DLP Single Stage Venous Cannulae with right angle metal tip, REF 67312",Blood Pumps,0.6601415276527405
"Biolox Option Taper Sleeve, Type 1 Taper, Standard Neck - Indicated for use in total hip replacement with cemented or non-cemented femoral and acetabular components.
Item Number: 650-1066",Blood Pumps,0.6883484721183777
"Biolox Option Taper Sleeve, Type 1 Taper, -6mm Neck - Indicated for use in total hip replacement with cemented or non-cemented femoral and acetabular components.
Item Number: 650-1064",Blood Pumps,0.6912357807159424
