Recall Reason,Category,Score
"The National Institute of Standards and Technology (NIST) has identified in the National Vulnerability Database (NVD) that NexGen Healthcare Mirth Connect, prior to version 4.4.1, has a potential vulnerability allowing the deserialization of untrusted data (CVE-2023-43208). Mirth products may have been installed and configured with your ViewPoint / ViewPoint 6 system by GE HealthCare. This vulnerability could allow a malicious actor to access the system and potentially manipulate patient data.",Design/Component Flaws,0.7153517603874207
"The National Institute of Standards and Technology (NIST) has identified in the National Vulnerability Database (NVD) that NexGen Healthcare Mirth Connect, prior to version 4.4.1, has a potential vulnerability allowing the deserialization of untrusted data (CVE-2023-43208). Mirth products may have been installed and configured with your ViewPoint / ViewPoint 6 system by GE HealthCare. This vulnerability could allow a malicious actor to access the system and potentially manipulate patient data.",Design/Component Flaws,0.7153517603874207
Potential for product leakage from the Spin Lock Connector on the distal end of the device due to the migration of excess solvent during the assembly process.,Manufacturing Defects,1.0
There is the potential for holes in the clear sterile barrier of the device pouch which may impact device sterility.,Contamination or Sterility Issues,1.0
There is the potential for holes in the clear sterile barrier of the device pouch which may impact device sterility.,Contamination or Sterility Issues,1.0
There is the potential for holes in the clear sterile barrier of the device pouch which may impact device sterility.,Contamination or Sterility Issues,1.0
There is the potential for holes in the clear sterile barrier of the device pouch which may impact device sterility.,Contamination or Sterility Issues,1.0
There is the potential for holes in the clear sterile barrier of the device pouch which may impact device sterility.,Contamination or Sterility Issues,1.0
Due to affected devices that may have bent female IUI connector and may not be operable and potentially cause delays in the start of the infusion or monitoring.,Manufacturing Defects,1.0
Due to affected devices that may have bent female IUI connector and may not be operable and potentially cause delays in the start of the infusion or monitoring.,Manufacturing Defects,1.0
Due to affected devices that may have bent female IUI connector and may not be operable and potentially cause delays in the start of the infusion or monitoring.,Manufacturing Defects,1.0
Due to affected devices that may have bent female IUI connector and may not be operable and potentially cause delays in the start of the infusion or monitoring.,Manufacturing Defects,1.0
Due to affected devices that may have bent female IUI connector and may not be operable and potentially cause delays in the start of the infusion or monitoring.,Manufacturing Defects,1.0
"During CAPA investigations of sight production inconsistencies, it was highlighted that previous Electromagnetic Compatibility (EMC) assessments related to RF radiated emissions may not be reasonably equivalent to the current product due to design changes in the system. A new CAPA was opened to investigate the radiated emissions compliance issues.
- Seer Home Systems distributed and retained in the field were not compliant with Electromagnetic Compatibility (EMC) testing according to IEC 60601-1-2
- Seer Home Systems, including accessories, were manufactured and distributed without application of proper design change and manufacturing controls
- Seer Home Systems were distributed with labeling deficiencies",Design/Component Flaws,1.0
Medtronic CareLink 2090 programmers with serial number prefixes PKK0 and PKK1 have the potential for autonomous cursor motion when Finger Touchscreen capability is enabled by software version 3.2 or higher.,Software Issues,0.7471190690994263
Product was distributed past expiration date.,Expiry Issues,1.0
The protective pouches were identified to have been improperly labeled with UDI that is associated with an incorrect GMDN (Global Medical Device Nomenclature) code.  These blue foam pouches were misused due to misclassification of the GMDN.,Design/Component Flaws,0.6943437457084656
"During positioning within the system's 3D to 3D matching mode while transferring CBCT images, when the Float Image Selection button is pressed, it may display CBCT images that are insufficient in number.",Design/Component Flaws,0.7282550930976868
"During positioning within the system's 3D to 3D matching mode while transferring CBCT images, when the Float Image Selection button is pressed, it may display CBCT images that are insufficient in number.",Design/Component Flaws,0.7282550930976868
"During positioning within the system's 3D to 3D matching mode while transferring CBCT images, when the Float Image Selection button is pressed, it may display CBCT images that are insufficient in number.",Design/Component Flaws,0.7282550930976868
Product has have presence of brown discoloration or substance on the hinge area of the device,Design/Component Flaws,0.7097571492195129
"During manufacturing, DLP Single Stage Venous Cannulae - straight tip (Model 66118) was incorrectly placed into a product labeled as DLP Single Stage Venous Cannulae - right angle metal tip (Model 67312).",Design/Component Flaws,0.6834055185317993
"Mislabeled: Incorrect sleeve in the packaging. The outer packaging is labeled as a standard neck sleeve, however, the product within the box is a -6mm neck sleeve, and vice versa. The neck of the sleeve can be identified by the device etching as either STD or -6",Design/Component Flaws,0.6691923141479492
"Mislabeled: Incorrect sleeve in the packaging. The outer packaging is labeled as a standard neck sleeve, however, the product within the box is a -6mm neck sleeve, and vice versa. The neck of the sleeve can be identified by the device etching as either STD or -6",Design/Component Flaws,0.6691923141479492
"There is the potential for a disconnection of the pilot balloon from the tracheostomy inflation line within specific lots of the BLUSelect, BLUgriggs and BLUperc products due to a manufacturing defect.",Manufacturing Defects,1.0
"There is the potential for a disconnection of the pilot balloon from the tracheostomy inflation line within specific lots of the BLUSelect, BLUgriggs and BLUperc products due to a manufacturing defect.",Manufacturing Defects,1.0
"There is the potential for a disconnection of the pilot balloon from the tracheostomy inflation line within specific lots of the BLUSelect, BLUgriggs and BLUperc products due to a manufacturing defect.",Manufacturing Defects,1.0
There is a potential for inadvertent tidally volume knob movement from the original setting when set at high (1000-1500 mL) and low (70-150 mL) settings.,Software Issues,0.6390265822410583
There is a potential for inadvertent tidally volume knob movement from the original setting when set at high (1000-1500 mL) and low (70-150 mL) settings.,Software Issues,0.6390265822410583
Machines equipped with BPM3 Blood Pressure Modules (Blood pressure monitor TM-2917B with firmware version S005) will not record Blood Pressure measurements and does not alarm if the cuff tubing is kinked close to the cuff.,Software Issues,0.7139711380004883
"Positive bias for some samples around the CA 19-9 upper limit of normal of 35 U/m as compared to the previous lot. The sample bias observed was greatest in the Asia Pacific sample population. The observed bias is not proportional across the assay measuring interval and is less pronounced for sample
results above a concentration of 110 U/mL.",Software Issues,0.6988334059715271
"Positive bias for some samples around the CA 19-9 upper limit of normal of 35 U/m as compared to the previous lot. The sample bias observed was greatest in the Asia Pacific sample population. The observed bias is not proportional across the assay measuring interval and is less pronounced for sample
results above a concentration of 110 U/mL.",Software Issues,0.6988334059715271
"Positive bias for some samples around the CA 19-9 upper limit of normal of 35 U/m as compared to the previous lot. The sample bias observed was greatest in the Asia Pacific sample population. The observed bias is not proportional across the assay measuring interval and is less pronounced for sample
results above a concentration of 110 U/mL.",Software Issues,0.6988334059715271
"Positive bias for some samples around the CA 19-9 upper limit of normal of 35 U/m as compared to the previous lot. The sample bias observed was greatest in the Asia Pacific sample population. The observed bias is not proportional across the assay measuring interval and is less pronounced for sample
results above a concentration of 110 U/mL.",Software Issues,0.6988334059715271
"Positive bias for some samples around the CA 19-9 upper limit of normal of 35 U/m as compared to the previous lot. The sample bias observed was greatest in the Asia Pacific sample population. The observed bias is not proportional across the assay measuring interval and is less pronounced for sample
results above a concentration of 110 U/mL.",Software Issues,0.6988334059715271
"Some automated in vitro diagnostic modules and instruments manufactured or serviced between May 2022 and May 2024 were calibrated with internal equipment that may lead modules and instruments to report higher melting temperatures, which may lead to erroneous results including false positive Salmonella, Giardia lamblia, false positive/negative Norovirus, and false negative MRSA.",Design/Component Flaws,0.7720049619674683
"Some automated in vitro diagnostic modules and instruments manufactured or serviced between May 2022 and May 2024 were calibrated with internal equipment that may lead modules and instruments to report higher melting temperatures, which may lead to erroneous results including false positive Salmonella, Giardia lamblia, false positive/negative Norovirus, and false negative MRSA.",Design/Component Flaws,0.7720049619674683
"Due to reported adverse events, Medline Industries, LP. is issuing a recall on specific SKUs and lots of 1500 cc semi-rigid liners manufactured from 09/2023-11/2023 due to the potential loss of suction or low suction during intermittent suction use.",Design/Component Flaws,0.6867939233779907
"Due to reported adverse events, Medline Industries, LP. is issuing a recall on specific SKUs and lots of 1500 cc semi-rigid liners manufactured from 09/2023-11/2023 due to the potential loss of suction or low suction during intermittent suction use.",Design/Component Flaws,0.6867939233779907
"Due to reported adverse events, Medline Industries, LP. is issuing a recall on specific SKUs and lots of 1500 cc semi-rigid liners manufactured from 09/2023-11/2023 due to the potential loss of suction or low suction during intermittent suction use.",Design/Component Flaws,0.6867939233779907
"Due to reported adverse events, Medline Industries, LP. is issuing a recall on specific SKUs and lots of 1500 cc semi-rigid liners manufactured from 09/2023-11/2023 due to the potential loss of suction or low suction during intermittent suction use.",Design/Component Flaws,0.6867939233779907
"Due to reported adverse events, Medline Industries, LP. is issuing a recall on specific SKUs and lots of 1500 cc semi-rigid liners manufactured from 09/2023-11/2023 due to the potential loss of suction or low suction during intermittent suction use.",Design/Component Flaws,0.6867939233779907
"Due to reported adverse events, Medline Industries, LP. is issuing a recall on specific SKUs and lots of 1500 cc semi-rigid liners manufactured from 09/2023-11/2023 due to the potential loss of suction or low suction during intermittent suction use.",Design/Component Flaws,0.6867939233779907
"Due to reported adverse events, Medline Industries, LP. is issuing a recall on specific SKUs and lots of 1500 cc semi-rigid liners manufactured from 09/2023-11/2023 due to the potential loss of suction or low suction during intermittent suction use.",Design/Component Flaws,0.6867939233779907
"Due to reported adverse events, Medline Industries, LP. is issuing a recall on specific SKUs and lots of 1500 cc semi-rigid liners manufactured from 09/2023-11/2023 due to the potential loss of suction or low suction during intermittent suction use.",Design/Component Flaws,0.6867939233779907
"Due to reported adverse events, Medline Industries, LP. is issuing a recall on specific SKUs and lots of 1500 cc semi-rigid liners manufactured from 09/2023-11/2023 due to the potential loss of suction or low suction during intermittent suction use.",Design/Component Flaws,0.6867939233779907
"Due to reported adverse events, Medline Industries, LP. is issuing a recall on specific SKUs and lots of 1500 cc semi-rigid liners manufactured from 09/2023-11/2023 due to the potential loss of suction or low suction during intermittent suction use.",Design/Component Flaws,0.6867939233779907
"Due to reported adverse events, Medline Industries, LP. is issuing a recall on specific SKUs and lots of 1500 cc semi-rigid liners manufactured from 09/2023-11/2023 due to the potential loss of suction or low suction during intermittent suction use.",Design/Component Flaws,0.6867939233779907
"Due to reported adverse events, Medline Industries, LP. is issuing a recall on specific SKUs and lots of 1500 cc semi-rigid liners manufactured from 09/2023-11/2023 due to the potential loss of suction or low suction during intermittent suction use.",Design/Component Flaws,0.6867939233779907
"Due to reported adverse events, Medline Industries, LP. is issuing a recall on specific SKUs and lots of 1500 cc semi-rigid liners manufactured from 09/2023-11/2023 due to the potential loss of suction or low suction during intermittent suction use.",Design/Component Flaws,0.6867939233779907
"Due to reported adverse events, Medline Industries, LP. is issuing a recall on specific SKUs and lots of 1500 cc semi-rigid liners manufactured from 09/2023-11/2023 due to the potential loss of suction or low suction during intermittent suction use.",Design/Component Flaws,0.6867939233779907
"Due to reported adverse events, Medline Industries, LP. is issuing a recall on specific SKUs and lots of 1500 cc semi-rigid liners manufactured from 09/2023-11/2023 due to the potential loss of suction or low suction during intermittent suction use.",Design/Component Flaws,0.6867939233779907
XXX,Other,0.3094574213027954
"Due to reported adverse events, Medline Industries, LP. is issuing a recall on specific SKUs and lots of 1500 cc semi-rigid liners manufactured from 09/2023-11/2023 due to the potential loss of suction or low suction during intermittent suction use.",Design/Component Flaws,0.6867939233779907
This product labeling does not adequately provide warning about the risks associated with the use of damaged batteries or batteries past the intended use life.,Manufacturing Defects,0.7332131266593933
This product labeling does not adequately provide warning about the risks associated with the use of damaged batteries or batteries past the intended use life.,Manufacturing Defects,0.7332131266593933
"These laser products fail to comply with 21 CFR 1040.10(f)(4) Key control which requires,  Each laser system classified as a Class IIIb or IV laser product shall incorporate a key-actuated master control. The key shall be removable and the laser shall not be operable when the key is removed. , because while the laser is switched on, the key can be removed from the key switch.  The correction is replacement with a key switch that captures the key when in the on position.",Design/Component Flaws,0.7216808199882507
"These laser products fail to comply with 21 CFR 1040.10(f)(4) Key control which requires,  Each laser system classified as a Class IIIb or IV laser product shall incorporate a key-actuated master control. The key shall be removable and the laser shall not be operable when the key is removed. , because while the laser is switched on, the key can be removed from the key switch. The correction is replacement with a key switch that captures the key when in the on position.",Design/Component Flaws,0.7216809391975403
"These laser products fail to comply with 21 CFR 1040.10(f)(4) Key control which requires,  Each laser system classified as a Class IIIb or IV laser product shall incorporate a key-actuated master control. The key shall be removable and the laser shall not be operable when the key is removed. , because while the laser is switched on, the key can be removed from the key switch. The correction is replacement with a key switch that captures the key when in the on position.",Design/Component Flaws,0.7216809391975403
Potential for an incomplete seal on the packaging tray.,Design/Component Flaws,0.7287265658378601
Potential for an incomplete seal on the packaging tray.,Design/Component Flaws,0.7287265658378601
Potential for an incomplete seal on the packaging tray.,Design/Component Flaws,0.7287265658378601
Potential for an incomplete seal on the packaging tray.,Design/Component Flaws,0.7287265658378601
Safety Parameters Verification Mechanisms can be deactivated in clinical runtime,Design/Component Flaws,0.8210471272468567
"Product packaging process may result in an improper or incomplete seal of the outer foil pouch surrounding the inner Tyvek pouch, compromising product sterility",Contamination or Sterility Issues,1.0
"Product packaging process may result in an improper or incomplete seal of the outer foil pouch surrounding the inner Tyvek pouch, compromising product sterility",Contamination or Sterility Issues,1.0
Extension of previous recall RES 92978. Pumps have the potential for upstream occlusion sensor to cease proper function due to buildup of electrostatic charge during operation triggering false downstream and upstream occlusion alarms. Additional devices have been affected.,Operation or Functional Issues,1.0
"During manufacturing, the last three tests from the 160 test flex of lot 23206BA (wells 8 or 10) were processed on the Dimension Vista platform. There was an issue with the filling line which led to some wells to underfill in lot 23206BA. Calibrator, quality control (QC) and patient results could have been impacted.",Design/Component Flaws,0.6954711079597473
A subset of the handsets within the kit may not be able to complete the pairing process with the communicator upon initial setup.,Design/Component Flaws,0.7312924265861511
Products in distribution were found by FDA to be to be substantially different from the current cleared 510(k)s with a major change or modification to the device s intended use.,Design/Component Flaws,0.7370233535766602
Products in distribution were found by FDA to be to be substantially different from the current cleared 510(k)s with a major change or modification to the device s intended use.,Design/Component Flaws,0.7370233535766602
Products in distribution were found by FDA to be to be substantially different from the current cleared 510(k)s with a major change or modification to the device s intended use.,Design/Component Flaws,0.7370233535766602
